country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Birthrate,Deathrate,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,CountryDisplay,Numeric,SexDisplay,YearCode
Jordan,NEAR EAST                          ,5906760,92300,64.0,0.03,6.59,17.35,4300,91.3,104.51,2.67,1.83,95.5,21.25,2.65,6.0,21.0,1.0,0.49559999999999993,Jordan,18.95136,Both sexes,2013
Kazakhstan,C.W. OF IND. STATES ,15233244,2717300,5.61,0.0,-3.35,29.21,6300,98.4,164.11,7.98,0.05,91.97,16.0,9.42,124.0,246.0,12.0,6.7614,Kazakhstan,16.13593,Both sexes,2013
Kenya,SUB-SAHARAN AFRICA                 ,34707817,582650,59.57,0.09,-0.1,61.47,1000,85.1,8.12,8.08,0.98,90.94,39.72,14.02,58.0,22.0,2.0,1.4514,Kenya,17.652379999999997,Both sexes,2013
Kiribati,OCEANIA                            ,105432,811,130.0,140.94,0.0,48.52,800,,42.68,2.74,50.68,46.58,30.65,8.26,21.0,34.0,1.0,0.9912,Kiribati,17.252,Both sexes,2013
Democratic People's Republic of Korea,ASIA (EX. NEAR EAST)         ,23113019,120540,191.75,2.07,0.0,24.04,1300,99.0,42.4,20.76,2.49,76.75,15.54,7.13,0.0,0.0,0.0,0.0,Democratic People's Republic of Korea,16.770979999999998,Both sexes,2013
Republic of Korea,ASIA (EX. NEAR EAST)         ,48846823,98480,496.01,2.45,0.0,7.05,17800,97.9,486.11,17.18,1.95,80.87,10.0,5.85,140.0,16.0,9.0,2.9204999999999997,Republic of Korea,24.39494,Both sexes,2013
Kuwait,NEAR EAST                          ,2418393,17820,135.71,2.8,14.18,9.95,19000,83.5,211.01,0.73,0.11,99.16,21.94,2.41,0.0,0.0,0.0,0.0,Kuwait,21.11066,Both sexes,2013
Kyrgyzstan,C.W. OF IND. STATES ,5213898,198500,26.27,0.0,-2.45,35.64,1600,97.0,84.04,7.3,0.35,92.35,22.8,7.08,31.0,97.0,6.0,2.3718000000000004,Kyrgyzstan,17.41422,Both sexes,2013
Lao People's Democratic Republic,ASIA (EX. NEAR EAST)         ,6368481,236800,26.89,0.0,0.0,85.22,1700,66.4,14.14,3.8,0.35,95.85,35.49,11.55,62.0,0.0,123.0,3.2744999999999997,Lao People's Democratic Republic,17.09779,Both sexes,2013
Latvia,BALTICS                            ,2274735,64589,35.22,0.82,-2.23,9.55,10200,99.8,321.36,29.67,0.47,69.86,9.24,13.66,281.0,216.0,62.0,9.8943,Latvia,19.69281,Both sexes,2013
Lebanon,NEAR EAST                          ,3874050,10400,372.5,2.16,0.0,24.52,4800,87.4,255.55,16.62,13.98,69.4,18.52,6.21,20.0,55.0,31.0,1.8762,Lebanon,22.67539,Both sexes,2013
Lesotho,SUB-SAHARAN AFRICA                 ,2022331,30355,66.62,0.0,-0.74,84.23,3000,84.8,23.73,10.87,0.13,89.0,24.75,28.71,82.0,29.0,0.0,1.9647000000000001,Lesotho,16.19046,Both sexes,2013
Liberia,SUB-SAHARAN AFRICA                 ,3042004,111370,27.31,0.52,0.0,128.87,1000,57.5,2.27,3.95,2.28,93.77,44.77,23.1,19.0,152.0,2.0,3.0621000000000005,Liberia,15.928139999999999,Both sexes,2013
Libya,NORTHERN AFRICA                    ,5900754,1759540,3.35,0.1,0.0,24.6,6400,82.6,127.1,1.03,0.19,98.78,26.49,3.48,0.0,0.0,0.0,0.0,Libya,19.72242,Both sexes,2013
Lithuania,BALTICS                            ,3585906,65200,55.0,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,8.75,10.98,343.0,244.0,56.0,11.3811,Lithuania,20.2098,Both sexes,2013
Luxembourg,WESTERN EUROPE                     ,474413,2586,183.45,0.0,8.97,4.81,55100,100.0,515.37,23.28,0.4,76.32,11.94,8.41,236.0,133.0,271.0,11.328000000000001,Luxembourg,24.6688,Both sexes,2013
The former Yugoslav republic of Macedonia,EASTERN EUROPE                     ,2050554,25333,80.94,0.0,-1.45,10.09,6700,,260.03,22.26,1.81,75.93,12.02,8.77,253.4,27.0,86.0,6.4852799999999995,The former Yugoslav republic of Macedonia,19.329060000000002,Both sexes,2013
Madagascar,SUB-SAHARAN AFRICA                 ,18595469,587040,31.68,0.82,0.0,76.83,800,68.9,3.6,5.07,1.03,93.91,41.41,11.11,26.0,15.0,4.0,0.7965,Madagascar,16.87223,Both sexes,2013
Malawi,SUB-SAHARAN AFRICA                 ,13013926,118480,109.84,0.0,0.0,103.32,600,62.7,7.89,23.38,1.49,75.13,43.13,19.33,8.0,11.0,1.0,0.354,Malawi,16.338520000000003,Both sexes,2013
Malaysia,ASIA (EX. NEAR EAST)         ,24385858,329750,73.95,1.42,0.0,17.7,9000,88.7,179.04,5.48,17.61,76.91,22.86,5.05,13.0,4.0,0.0,0.30089999999999995,Malaysia,18.77471,Both sexes,2013
Maldives,ASIA (EX. NEAR EAST)         ,359008,300,1196.69,214.67,0.0,56.52,3900,97.2,89.97,13.33,16.67,70.0,34.81,7.06,0.0,0.0,0.0,0.0,Maldives,20.82443,Both sexes,2013
Mali,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.45,0.0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,49.82,16.89,5.0,1.0,1.0,0.12390000000000001,Mali,15.52345,Both sexes,2013
Malta,WESTERN EUROPE                     ,400214,316,1266.5,62.28,2.07,3.89,17700,92.8,504.98,28.13,3.13,68.74,10.22,8.1,149.0,100.0,120.0,6.5313,Malta,23.23585,Both sexes,2013
Marshall Islands,OCEANIA                            ,60422,11854,5.1,3.12,-6.04,29.45,1600,93.7,91.19,16.67,38.89,44.44,33.05,4.78,0.0,0.0,0.0,0.0,Marshall Islands,18.35695,Both sexes,2013
Mauritania,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.08,0.07,0.0,70.89,1800,41.7,12.9,0.48,0.01,99.51,40.99,12.16,0.0,0.0,0.0,0.0,Mauritania,16.37922,Both sexes,2013
Mauritius,SUB-SAHARAN AFRICA                 ,1240827,2040,608.25,8.68,-0.9,15.03,11400,85.6,289.32,49.26,2.96,47.78,15.43,6.86,98.0,31.0,18.0,2.6019,Mauritius,20.21792,Both sexes,2013
Mexico,LATIN AMER. & CARIB    ,107449525,1972550,54.47,0.47,-4.87,20.91,9000,92.2,181.59,12.99,1.31,85.7,20.69,4.74,238.0,68.0,5.0,5.5047,Mexico,21.419079999999997,Both sexes,2013
Micronesia (Federated States of),OCEANIA                            ,108004,702,153.85,870.66,-20.99,30.21,2000,89.0,114.81,5.71,45.71,48.58,24.68,4.75,62.0,50.0,18.0,2.301,Micronesia (Federated States of),17.2581,Both sexes,2013
Republic of Moldova,C.W. OF IND. STATES ,4466706,33843,131.98,0.0,-0.26,40.42,1800,99.1,208.07,55.3,10.79,33.91,15.7,12.64,109.0,226.0,18.0,6.248099999999999,Republic of Moldova,17.30186,Both sexes,2013
Monaco,WESTERN EUROPE                     ,32543,2,16271.5,205.0,7.75,5.43,27000,99.0,1035.55,0.0,0.0,100.0,9.19,12.91,0.0,0.0,0.0,0.0,Monaco,25.42132,Both sexes,2013
Mongolia,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.81,0.0,0.0,53.79,1800,97.8,55.08,0.77,0.0,99.23,21.59,6.95,77.0,189.0,8.0,4.8498,Mongolia,16.281029999999998,Both sexes,2013
Morocco,NORTHERN AFRICA                    ,33241259,446550,74.44,0.41,-0.98,41.62,4000,51.7,40.35,19.61,2.17,78.22,21.98,5.58,12.0,6.0,10.0,0.49559999999999993,Morocco,17.8917,Both sexes,2013
Mozambique,SUB-SAHARAN AFRICA                 ,19686505,801590,24.56,0.31,0.0,130.79,1200,47.8,3.54,5.1,0.3,94.6,35.18,21.35,47.0,18.0,5.0,1.2389999999999999,Mozambique,16.47116,Both sexes,2013
Namibia,SUB-SAHARAN AFRICA                 ,2044147,825418,2.48,0.19,0.0,48.98,7200,84.0,62.57,0.99,0.0,99.01,24.32,18.86,376.0,3.0,1.0,6.725999999999999,Namibia,18.703120000000002,Both sexes,2013
Nauru,OCEANIA                            ,13287,21,632.71,142.86,0.0,9.95,5000,,143.0,0.0,0.0,100.0,24.76,6.7,49.0,0.0,8.0,1.0089000000000001,Nauru,23.20659,Both sexes,2013
Nepal,ASIA (EX. NEAR EAST)         ,28287147,147181,192.19,0.0,0.0,66.98,1400,45.2,15.86,21.68,0.64,77.68,30.98,9.31,5.0,6.0,0.0,0.19469999999999998,Nepal,17.07327,Both sexes,2013
Netherlands,WESTERN EUROPE                     ,16491461,41526,397.14,1.09,2.91,5.04,28600,99.0,460.84,26.71,0.97,72.32,10.9,8.68,251.0,88.0,190.0,9.363299999999999,Netherlands,23.843000000000004,Both sexes,2013
New Zealand,OCEANIA                            ,4076140,268680,15.17,5.63,4.05,5.85,21600,99.0,441.72,5.6,6.99,87.41,13.76,7.53,203.0,79.0,175.0,8.088899999999999,New Zealand,25.110670000000002,Both sexes,2013
Nicaragua,LATIN AMER. & CARIB    ,5570129,129494,43.01,0.7,-1.22,29.11,2300,67.5,39.66,15.94,1.94,82.12,24.51,4.45,78.0,118.0,1.0,3.4869000000000003,Nicaragua,21.13286,Both sexes,2013
Niger,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.89,0.0,-0.67,121.69,800,17.6,1.92,3.54,0.01,96.45,50.73,20.91,3.0,2.0,1.0,0.10619999999999999,Niger,15.50721,Both sexes,2013
Nigeria,SUB-SAHARAN AFRICA                 ,131859731,923768,142.74,0.09,0.26,98.8,900,68.0,9.28,31.29,2.96,65.75,40.43,16.94,42.0,5.0,2.0,0.8673,Nigeria,15.801720000000001,Both sexes,2013
Norway,WESTERN EUROPE                     ,4610820,323802,14.24,7.77,1.74,3.7,37800,100.0,461.74,2.87,0.0,97.13,11.46,9.4,169.0,71.0,129.0,6.5313,Norway,24.245260000000002,Both sexes,2013
Oman,NEAR EAST                          ,3102229,212460,14.6,0.98,0.28,19.51,13100,75.8,85.49,0.0,0.14,99.74,36.24,3.81,22.0,16.0,1.0,0.6902999999999999,Oman,20.492729999999998,Both sexes,2013
Pakistan,ASIA (EX. NEAR EAST)         ,165803560,803940,206.24,0.13,-2.77,72.44,2100,45.7,31.83,27.87,0.87,71.26,29.74,8.23,0.0,0.0,0.0,0.0,Pakistan,17.44965,Both sexes,2013
Palau,OCEANIA                            ,20579,458,44.93,331.66,2.85,14.84,9000,92.0,325.57,8.7,4.35,86.95,18.03,6.8,306.0,63.0,23.0,6.9384,Palau,18.25476,Both sexes,2013
Panama,LATIN AMER. & CARIB    ,3191319,78200,40.81,3.18,-0.91,20.47,6300,92.6,137.91,7.36,1.98,90.66,21.74,5.36,285.0,104.0,18.0,7.2039,Panama,23.5701,Both sexes,2013
Papua New Guinea,OCEANIA                            ,5670544,462840,12.25,1.11,0.0,51.45,2200,64.6,10.93,0.46,1.44,98.1,29.36,7.25,44.0,39.0,1.0,1.4868000000000001,Papua New Guinea,14.91985,Both sexes,2013
Paraguay,LATIN AMER. & CARIB    ,6506464,406750,16.0,0.0,-0.08,25.63,4700,94.0,49.23,7.6,0.23,92.17,29.1,4.49,213.0,117.0,74.0,7.1508,Paraguay,21.39382,Both sexes,2013
Peru,LATIN AMER. & CARIB    ,28302603,1285220,22.02,0.19,-1.05,31.94,5100,90.9,79.52,2.89,0.4,96.71,20.48,6.23,163.0,160.0,21.0,6.088800000000001,Peru,22.7245,Both sexes,2013
Philippines,ASIA (EX. NEAR EAST)         ,89468677,300000,298.23,12.1,-1.5,23.51,4600,92.6,38.42,18.95,16.77,64.28,24.89,5.41,71.0,186.0,1.0,4.5666,Philippines,17.01759,Both sexes,2013
Poland,EASTERN EUROPE                     ,38536869,312685,123.25,0.16,-0.49,8.51,11100,99.8,306.28,45.91,1.12,52.97,9.85,9.89,343.0,215.0,56.0,10.8678,Poland,21.43814,Both sexes,2013
