country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Birthrate,Deathrate,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,CountryDisplay,Numeric,SexDisplay,YearCode
Tunisia,NORTHERN AFRICA                    ,10175014,163610,62.19,0.7,-0.57,24.77,6900,74.2,123.59,17.86,13.74,68.4,15.52,5.13,51.0,3.0,20.0,1.3097999999999999,Tunisia,20.74825,Both sexes,2013
Turkey,NEAR EAST                          ,70413958,780580,90.21,0.92,0.0,41.04,6700,86.5,269.52,30.93,3.31,65.76,16.62,5.97,51.0,22.0,7.0,1.416,Turkey,20.886329999999997,Both sexes,2013
Turkmenistan,C.W. OF IND. STATES ,5042920,488100,10.33,0.0,-0.86,73.08,5800,98.0,74.58,3.72,0.14,96.14,27.61,8.6,19.0,71.0,32.0,2.1594,Turkmenistan,15.871920000000001,Both sexes,2013
Tuvalu,OCEANIA                            ,11810,26,454.23,92.31,0.0,20.03,1100,,59.27,0.0,0.0,100.0,22.18,7.11,6.0,41.0,9.0,0.9912,Tuvalu,16.24073,Both sexes,2013
Uganda,SUB-SAHARAN AFRICA                 ,28195754,236040,119.45,0.0,0.0,67.83,1400,69.9,3.58,25.88,10.65,63.47,47.35,12.24,45.0,9.0,0.0,0.9558,Uganda,16.595,Both sexes,2013
Ukraine,C.W. OF IND. STATES ,46710816,603700,77.37,0.46,-0.39,20.34,5400,99.7,259.94,56.21,1.61,42.18,8.82,14.39,206.0,237.0,45.0,8.637599999999999,Ukraine,17.99756,Both sexes,2013
United Arab Emirates,NEAR EAST                          ,2602713,82880,31.4,1.59,1.03,14.51,23200,77.9,475.27,0.6,2.25,97.15,18.96,4.4,16.0,135.0,5.0,2.7612,United Arab Emirates,19.79168,Both sexes,2013
United Kingdom of Great Britain and Northern Ireland,WESTERN EUROPE                     ,60609153,244820,247.57,5.08,2.19,5.16,27700,99.0,543.53,23.46,0.21,76.33,10.71,10.13,219.0,126.0,195.0,9.558,United Kingdom of Great Britain and Northern Ireland,24.00066,Both sexes,2013
United States of America,NORTHERN AMERICA                   ,298444215,9631420,30.99,0.21,3.41,6.5,37800,97.0,897.99,19.13,0.22,80.65,14.14,8.26,249.0,158.0,84.0,8.6907,United States of America,23.08794,Both sexes,2013
Uruguay,LATIN AMER. & CARIB    ,3431932,176220,19.48,0.37,-0.32,11.95,12800,98.0,291.38,7.43,0.23,92.34,13.91,9.05,115.0,35.0,220.0,6.5489999999999995,Uruguay,21.99621,Both sexes,2013
Uzbekistan,C.W. OF IND. STATES ,27307134,447400,61.04,0.0,-1.72,71.1,1700,99.3,62.88,10.83,0.83,88.34,26.36,7.84,25.0,101.0,8.0,2.3718,Uzbekistan,16.98007,Both sexes,2013
Vanuatu,OCEANIA                            ,208869,12200,17.12,20.72,0.0,55.16,2900,53.0,32.56,2.46,7.38,90.16,22.72,7.82,21.0,18.0,11.0,0.885,Vanuatu,17.98234,Both sexes,2013
Venezuela (Bolivarian Republic of),LATIN AMER. & CARIB    ,25730435,912050,28.21,0.31,-0.04,22.2,4800,93.4,140.13,2.95,0.92,96.13,18.71,4.92,333.0,100.0,3.0,7.7172,Venezuela (Bolivarian Republic of),23.059279999999998,Both sexes,2013
Viet Nam,ASIA (EX. NEAR EAST)         ,84402966,329560,256.11,1.05,-0.45,25.95,2500,90.3,187.73,19.97,5.95,74.08,16.86,6.22,111.0,2.0,1.0,2.0178,Viet Nam,22.35942,Both sexes,2013
Yemen,NEAR EAST                          ,21456188,527970,40.64,0.36,0.0,61.5,800,50.2,37.2,2.78,0.24,96.98,42.89,8.3,6.0,0.0,0.0,0.10619999999999999,Yemen,16.17834,Both sexes,2013
Zambia,SUB-SAHARAN AFRICA                 ,11502010,752614,15.28,0.0,0.0,88.29,800,80.6,8.23,7.08,0.03,92.9,41.0,19.93,32.0,19.0,4.0,0.9735,Zambia,17.29255,Both sexes,2013
Zimbabwe,SUB-SAHARAN AFRICA                 ,12236805,390580,31.33,0.0,0.0,67.69,1900,90.7,26.8,8.32,0.34,91.34,28.01,21.84,64.0,18.0,4.0,1.5222,Zimbabwe,18.19472,Both sexes,2013
